"Population estimates, quarterly 1 2 3 4",,,,,,,,,,,,,,,
Frequency: Quarterly,,,,,,,,,,,,,,,
Table: 17-10-0009-01 (formerly CANSIM 051-0005),,,,,,,,,,,,,,,
Release date: 2023-03-22,,,,,,,,,,,,,,,
"Geography: Canada, Province or territory",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Geography,Canada,Newfoundland and Labrador,Prince Edward Island,Nova Scotia,New Brunswick,Quebec,Ontario,Manitoba,Saskatchewan,Alberta,British Columbia,Yukon,Northwest Territories including Nunavut (Terminated) 5,Northwest Territories 6,Nunavut 6
Q3 1980,"24,515,667","572,759","123,735","852,659","706,219","6,505,997","8,746,013","1,034,435","967,548","2,191,029","2,745,861","23,019","46,393t",..,..
Q4 1980,"24,603,534","573,582","123,445","853,389","705,237","6,515,323","8,757,388","1,034,017","970,183","2,227,159","2,773,680","23,380","46,751t",..,..
Q1 1981,"24,665,355","573,420","123,315","853,673","704,763","6,523,258","8,770,591","1,033,968","971,544","2,249,907","2,790,754","23,311","46,851t",..,..
Q2 1981,"24,732,826","574,199","123,285","854,024","705,241","6,534,508","8,787,156","1,034,805","973,372","2,270,227","2,805,394","23,517","47,098t",..,..
Q3 1981,"24,819,915","575,302","123,551","854,871","706,438","6,547,207","8,812,286","1,035,545","975,759","2,291,104","2,826,558","23,880","47,414t",..,..
Q4 1981,"24,920,120","575,276","123,496","857,038","706,008","6,558,545","8,846,005","1,037,183","979,469","2,319,715","2,845,212","24,120","48,053t",..,..
Q1 1982,"24,979,229","573,343","123,335","857,469","705,608","6,565,745","8,865,774","1,039,300","981,559","2,337,458","2,857,268","24,302","48,068t",..,..
Q2 1982,"25,042,069","573,292","123,225","857,592","706,179","6,572,316","8,892,646","1,042,251","983,744","2,352,042","2,865,557","24,571","48,654t",..,..
Q3 1982,"25,116,942","573,795","123,588","859,038","707,457","6,580,631","8,920,288","1,045,224","986,582","2,369,827","2,876,513","24,668","49,331t",..,..
Q4 1982,"25,193,538","575,898","123,919","862,255","709,894","6,584,666","8,957,042","1,049,816","991,621","2,378,405","2,885,875","24,320","49,827t",..,..
Q1 1983,"25,242,830","576,813","124,181","864,117","711,021","6,588,636","8,982,933","1,052,538","993,810","2,383,354","2,891,441","23,838","50,148t",..,..
Q2 1983,"25,300,372","577,523","124,479","865,796","712,338","6,595,846","9,010,994","1,055,586","997,100","2,388,090","2,898,574","23,702","50,344t",..,..
Q3 1983,"25,366,451","579,164","125,102","868,289","714,842","6,602,976","9,039,564","1,059,752","1,001,249","2,393,587","2,907,502","23,664","50,760t",..,..
Q4 1983,"25,434,150","579,603","125,634","872,143","716,531","6,608,417","9,074,145","1,063,952","1,005,175","2,394,239","2,919,166","23,760","51,385t",..,..
Q1 1984,"25,482,358","579,558","125,906","874,076","717,434","6,613,628","9,100,590","1,066,222","1,007,484","2,394,892","2,927,258","23,544","51,766t",..,..
Q2 1984,"25,539,861","579,810","126,184","875,922","718,627","6,621,748","9,129,833","1,069,201","1,010,840","2,396,706","2,935,384","23,603","52,003t",..,..
Q3 1984,"25,607,053","580,065","126,563","877,471","720,488","6,631,220","9,167,484","1,071,810","1,014,615","2,393,907","2,947,181","23,921","52,328t",..,..
Q4 1984,"25,677,668","579,356","126,877","881,323","721,509","6,640,276","9,210,346","1,075,088","1,018,785","2,390,913","2,956,332","24,168","52,695t",..,..
Q1 1985,"25,721,170","579,043","127,330","883,012","721,932","6,645,778","9,230,294","1,078,327","1,020,040","2,395,813","2,962,108","24,156","53,337t",..,..
Q2 1985,"25,774,717","579,320","127,486","884,525","722,406","6,654,729","9,256,175","1,081,013","1,021,914","2,401,499","2,967,584","24,245","53,821t",..,..
Q3 1985,"25,842,116","579,275","127,619","885,848","723,287","6,665,802","9,294,657","1,082,495","1,024,928","2,404,490","2,975,131","24,375","54,209t",..,..
Q4 1985,"25,914,797","577,784","127,864","887,408","723,955","6,676,959","9,338,435","1,085,016","1,027,418","2,407,001","2,984,237","24,458","54,262t",..,..
Q1 1986,"25,962,414","577,248","128,256","887,435","724,277","6,684,699","9,362,036","1,087,851","1,027,137","2,415,590","2,988,964","24,359","54,562t",..,..
Q2 1986,"26,019,615","577,105","128,403","888,157","724,432","6,693,133","9,391,784","1,090,433","1,027,812","2,424,950","2,994,267","24,364","54,775t",..,..
Q3 1986,"26,100,278","576,306","128,436","889,087","725,019","6,708,170","9,437,359","1,091,552","1,028,717","2,432,930","3,003,621","24,430","54,651t",..,..
Q4 1986,"26,187,639","575,396","128,281","891,078","725,304","6,727,250","9,493,289","1,092,636","1,029,554","2,429,949","3,015,876","24,782","54,244t",..,..
Q1 1987,"26,256,140","575,586","128,429","891,424","725,368","6,745,101","9,531,478","1,094,659","1,029,639","2,432,958","3,021,900","25,125","54,473t",..,..
Q2 1987,"26,346,370","575,802","128,645","891,908","726,566","6,765,059","9,577,947","1,097,076","1,031,336","2,439,074","3,032,807","25,386","54,764t",..,..
Q3 1987,"26,446,601","575,242","128,641","893,606","727,768","6,781,984","9,637,945","1,098,373","1,032,799","2,440,877","3,048,651","25,706","55,009t",..,..
Q4 1987,"26,542,370","574,094","128,758","894,585","728,100","6,796,640","9,702,789","1,098,195","1,031,995","2,437,537","3,068,995","25,808","54,874t",..,..
Q1 1988,"26,602,328","574,543","129,152","894,600","728,401","6,805,203","9,735,171","1,099,782","1,029,527","2,443,396","3,081,368","25,902","55,283t",..,..
Q2 1988,"26,679,165","574,912","129,242","895,638","729,079","6,818,248","9,774,964","1,101,404","1,028,590","2,450,646","3,094,274","26,335","55,833t",..,..
Q3 1988,"26,791,747","574,982","129,289","897,216","730,349","6,837,077","9,838,620","1,102,152","1,028,225","2,456,614","3,114,761","26,653","55,809t",..,..
Q4 1988,"26,932,655","574,645","129,327","899,462","731,671","6,864,044","9,917,210","1,101,074","1,025,453","2,465,242","3,141,854","26,582","56,091t",..,..
Q1 1989,"27,032,356","575,626","129,984","900,270","732,462","6,882,602","9,969,308","1,101,544","1,021,497","2,477,533","3,158,092","26,898","56,540t",..,..
Q2 1989,"27,147,776","576,458","130,192","901,341","733,872","6,903,228","10,031,922","1,102,669","1,020,302","2,489,032","3,174,623","27,053","57,084t",..,..
Q3 1989,"27,276,781","576,551","130,153","903,841","735,129","6,925,128","10,103,305","1,103,792","1,019,439","2,498,325","3,196,725","27,167","57,226t",..,..
Q4 1989,"27,402,695","575,594","129,900","906,644","736,352","6,946,945","10,167,642","1,102,522","1,016,043","2,507,203","3,229,220","27,197","57,433t",..,..
Q1 1990,"27,463,550","576,278","130,336","907,394","737,307","6,955,119","10,189,985","1,102,752","1,011,429","2,520,056","3,247,419","27,605","57,870t",..,..
Q2 1990,"27,567,161","577,167","130,468","908,444","738,744","6,973,762","10,238,884","1,103,935","1,009,952","2,532,621","3,266,888","27,824","58,472t",..,..
Q3 1990,"27,691,138","577,368","130,404","910,451","740,156","6,996,986","10,295,832","1,105,421","1,007,727","2,547,788","3,292,111","27,957","58,937t",..,..
Q4 1990,"27,807,591","577,113","130,367","911,749","741,981","7,019,039","10,344,678","1,105,098","1,004,214","2,563,142","3,322,896","28,023","59,291t",..,..
Q1 1991,"27,854,861","577,377","130,477","912,792","743,210","7,026,241","10,355,101","1,106,196","1,002,651","2,572,947","3,339,935","28,223","59,711t",..,..
Q2 1991,"27,928,837","578,397","130,453","912,889","744,203","7,044,395","10,385,937","1,107,757","1,002,876","2,580,625","3,352,585","28,494","60,226t",..,..
Q3 1991,"28,037,420","579,644","130,369","914,969","745,567","7,067,396","10,431,316","1,109,604","1,002,713","2,592,306","3,373,787","28,871","60,878t","38,724","22,154"
Q4 1991,"28,127,327","579,549","130,360","916,896","745,886","7,080,336","10,465,562","1,109,400","1,000,942","2,604,031","3,404,049","29,142",..t,"38,854","22,320"
Q1 1992,"28,181,477","579,425","130,604","917,302","746,571","7,082,645","10,488,022","1,109,978","1,001,136","2,611,786","3,423,217","29,239",..t,"39,055","22,497"
Q2 1992,"28,269,699","579,761","130,812","917,555","747,232","7,096,705","10,528,346","1,111,050","1,002,831","2,620,771","3,443,237","29,510",..t,"39,230","22,659"
Q3 1992,"28,371,264","580,109","130,827","919,451","748,121","7,110,010","10,572,205","1,112,689","1,003,995","2,632,672","3,468,802","30,084",..t,"39,416","22,883"
Q4 1992,"28,474,177","579,624","131,201","921,619","747,746","7,129,062","10,610,665","1,113,209","1,002,960","2,643,421","3,502,209","30,034",..t,"39,422","23,005"
Q1 1993,"28,533,602","580,819","131,564","922,128","747,892","7,137,514","10,629,994","1,114,180","1,003,443","2,650,886","3,522,509","29,964",..t,"39,538","23,171"
Q2 1993,"28,600,864","580,369","131,833","922,469","748,320","7,147,047","10,656,924","1,115,554","1,005,037","2,658,293","3,541,936","30,112",..t,"39,649","23,321"
